iteration,avg_loss,best_reward,avg_episode_return,avg_episode_length
102,14.703503131866455,479.28474769375634,165.18053518969379,318.9
103,33.60718011856079,479.28474769375634,159.7254962852512,312.5
104,15.449478387832642,479.28474769375634,103.10716938363348,220.9
105,13.850640296936035,479.28474769375634,120.27011466688722,244.6
106,13.684035301208496,479.28474769375634,153.71297327685028,296.1
107,13.249335050582886,479.28474769375634,173.80258987858696,323.5
108,14.647456645965576,479.28474769375634,165.07117328789312,308.6
109,18.600096702575684,479.28474769375634,167.24999770632866,311.3
110,16.22572374343872,479.28474769375634,184.5586390861329,335.6
111,15.367690801620483,479.28474769375634,193.83387413130882,349.3
112,20.535560607910156,479.28474769375634,190.21913965292345,342.5
113,19.05124807357788,479.28474769375634,185.0664674060951,333.3
114,20.212260246276855,479.28474769375634,186.3629546257331,336.2
115,21.110973358154297,479.28474769375634,179.8570567947914,328.2
116,69.65826797485352,479.28474769375634,118.9083833352795,234.1
117,42.81358337402344,479.28474769375634,72.66347160105067,160.2
118,24.131105422973633,479.28474769375634,75.193048776737,164.2
119,11.79530143737793,479.28474769375634,78.76124874938215,169.4
120,13.112641096115112,479.28474769375634,73.11838583370051,158.7
121,15.042598009109497,479.28474769375634,75.67181062982377,164.2
122,26.637014389038086,479.28474769375634,74.4153978476904,162.2
123,13.707839965820312,479.28474769375634,72.98735327344177,157.0
124,7.207206130027771,479.28474769375634,74.82019094803765,161.0
125,11.661286115646362,479.28474769375634,75.7285185610448,164.2
126,8.782935380935669,479.28474769375634,74.44060981072916,162.8
127,9.598793268203735,479.28474769375634,73.46363522980644,160.0
128,8.621196508407593,479.28474769375634,74.8117761909235,161.5
129,14.564825773239136,479.28474769375634,75.79472111718546,164.5
130,11.362295866012573,479.28474769375634,81.60958310520154,179.6
131,11.544520616531372,479.28474769375634,74.74892148650427,165.0
132,10.89422345161438,479.28474769375634,75.14812746313166,165.0
133,12.663875579833984,479.28474769375634,76.38779818029903,162.0
134,9.880587339401245,479.28474769375634,77.23515871604694,165.6
135,9.92221188545227,479.28474769375634,75.50563683784993,162.1
136,11.851777076721191,479.28474769375634,74.11670750386062,159.9
137,11.472412347793579,479.28474769375634,77.34350016240569,164.1
138,16.828014850616455,479.28474769375634,77.66653154551601,165.4
139,8.763195991516113,479.28474769375634,76.337710113831,162.1
140,8.306093692779541,479.28474769375634,77.192734413483,163.1
141,10.517478227615356,479.28474769375634,74.10974123385526,159.9
142,10.815189361572266,479.28474769375634,76.64903996411283,164.4
143,7.600946664810181,479.28474769375634,73.67377021745975,161.0
144,10.248773097991943,479.28474769375634,77.04088898832933,163.4
145,10.009381532669067,479.28474769375634,75.4204235787644,162.6
146,9.106000185012817,479.28474769375634,75.75823136706995,161.6
147,7.762546539306641,479.28474769375634,75.24089587679859,160.6
148,7.838296294212341,479.28474769375634,74.72369762858727,162.0
149,10.225701808929443,479.28474769375634,78.3631086772295,166.6
150,9.953233242034912,479.28474769375634,73.52846150454292,159.5
151,9.673624038696289,479.28474769375634,74.21663365400198,160.4
152,9.846363544464111,479.28474769375634,82.01603659393456,173.7
153,8.745562314987183,479.28474769375634,80.36668336447212,170.9
154,9.333313703536987,479.28474769375634,75.3251137754352,163.3
155,10.76767873764038,479.28474769375634,78.44551527876342,166.4
156,10.692544937133789,479.28474769375634,72.36713101976261,158.3
157,8.40056037902832,479.28474769375634,78.65682724605126,169.9
158,7.908366799354553,479.28474769375634,80.39399519591754,173.1
159,10.466120719909668,479.28474769375634,74.4636481640359,161.4
160,11.208062648773193,479.28474769375634,73.51794290161787,161.8
161,8.93869137763977,479.28474769375634,71.60053064719868,161.0
162,9.493349075317383,479.28474769375634,74.00817453003864,163.7
163,10.521606206893921,479.28474769375634,78.65497729135924,168.1
164,10.68470287322998,479.28474769375634,76.68352330386766,161.6
165,9.802640438079834,479.28474769375634,74.88202225900226,161.9
166,9.227773189544678,479.28474769375634,73.09258421620979,162.6
167,8.137166142463684,479.28474769375634,72.21026594320747,156.9
168,9.208590984344482,479.28474769375634,76.47679975354437,164.4
169,7.796834588050842,479.28474769375634,73.09598967095003,161.4
170,13.835990190505981,479.28474769375634,79.22213286752579,167.4
171,9.253584623336792,479.28474769375634,76.96477956447583,161.2
172,6.09253990650177,479.28474769375634,77.60129802784823,168.0
173,10.533377170562744,479.28474769375634,74.94594277156435,160.7
174,9.910950899124146,479.28474769375634,74.70294703629467,162.2
175,11.363683938980103,479.28474769375634,79.87515043181203,171.4
176,7.9123382568359375,479.28474769375634,89.58613809023208,187.8
177,7.485333681106567,479.28474769375634,94.15162768843507,198.3
178,8.919031381607056,479.28474769375634,81.84412147912683,181.3
179,8.14199185371399,479.28474769375634,76.78699565338268,165.9
180,8.485857725143433,479.28474769375634,88.57053795538667,186.8
181,9.832899570465088,479.28474769375634,96.0130067887549,203.8
182,13.453653573989868,479.28474769375634,83.073179076852,180.7
183,10.134759426116943,479.28474769375634,83.52870970750614,177.4
184,7.229315757751465,479.28474769375634,82.028306090941,181.9
185,20.284133434295654,479.28474769375634,106.65962762451345,218.7
186,11.45886504650116,479.28474769375634,128.42728214639993,249.6
